,pass,data1,data2,data3,data4,classid
0,./characters/abraham_grampa_simpson/pic_0000.jpg,57,72,52,72,0
1,./characters/abraham_grampa_simpson/pic_0001.jpg,80,31,337,354,0
2,./characters/abraham_grampa_simpson/pic_0002.jpg,128,48,285,407,0
3,./characters/abraham_grampa_simpson/pic_0003.jpg,72,126,158,275,0
4,./characters/abraham_grampa_simpson/pic_0004.jpg,123,61,294,416,0
5,./characters/abraham_grampa_simpson/pic_0005.jpg,115,18,498,413,0
6,./characters/abraham_grampa_simpson/pic_0006.jpg,171,47,423,413,0
7,./characters/abraham_grampa_simpson/pic_0007.jpg,120,53,381,409,0
8,./characters/abraham_grampa_simpson/pic_0008.jpg,149,56,398,406,0
9,./characters/abraham_grampa_simpson/pic_0009.jpg,205,41,470,456,0
10,./characters/abraham_grampa_simpson/pic_0010.jpg,71,29,265,424,0
11,./characters/abraham_grampa_simpson/pic_0011.jpg,2,24,176,408,0
12,./characters/abraham_grampa_simpson/pic_0012.jpg,132,166,240,346,0
13,./characters/abraham_grampa_simpson/pic_0013.jpg,61,38,418,404,0
14,./characters/abraham_grampa_simpson/pic_0014.jpg,144,46,467,474,0
15,./characters/abraham_grampa_simpson/pic_0015.jpg,124,47,417,400,0
16,./characters/abraham_grampa_simpson/pic_0016.jpg,264,129,496,471,0
17,./characters/abraham_grampa_simpson/pic_0017.jpg,6,9,173,466,0
18,./characters/abraham_grampa_simpson/pic_0019.jpg,110,54,273,417,0
19,./characters/abraham_grampa_simpson/pic_0020.jpg,124,71,285,44,0
20,./characters/abraham_grampa_simpson/pic_0021.jpg,8,11,248,411,0
21,./characters/abraham_grampa_simpson/pic_0022.jpg,9,12,238,410,0
22,./characters/abraham_grampa_simpson/pic_0023.jpg,199,67,408,456,0
23,./characters/abraham_grampa_simpson/pic_0024.jpg,2,6,570,412,0
24,./characters/abraham_grampa_simpson/pic_0025.jpg,11,92,198,472,0
25,./characters/abraham_grampa_simpson/pic_0026.jpg,77,42,259,398,0
26,./characters/abraham_grampa_simpson/pic_0027.jpg,55,40,237,329,0
27,./characters/abraham_grampa_simpson/pic_0028.jpg,102,16,448,404,0
28,./characters/abraham_grampa_simpson/pic_0029.jpg,154,9,465,410,0
29,./characters/abraham_grampa_simpson/pic_0030.jpg,38,24,235,423,0
30,./characters/abraham_grampa_simpson/pic_0031.jpg,3,101,160,472,0
31,./characters/abraham_grampa_simpson/pic_0032.jpg,89,69,279,363,0
32,./characters/abraham_grampa_simpson/pic_0033.jpg,83,77,272,354,0
33,./characters/abraham_grampa_simpson/pic_0034.jpg,264,24,549,429,0
34,./characters/abraham_grampa_simpson/pic_0035.jpg,60,57,275,398,0
35,./characters/abraham_grampa_simpson/pic_0036.jpg,57,57,278,401,0
36,./characters/abraham_grampa_simpson/pic_0037.jpg,29,65,250,330,0
37,./characters/abraham_grampa_simpson/pic_0038.jpg,152,16,438,402,0
38,./characters/abraham_grampa_simpson/pic_0039.jpg,182,71,418,400,0
39,./characters/abraham_grampa_simpson/pic_0040.jpg,79,18,279,419,0
40,./characters/abraham_grampa_simpson/pic_0041.jpg,99,63,286,421,0
41,./characters/abraham_grampa_simpson/pic_0042.jpg,43,47,228,351,0
42,./characters/abraham_grampa_simpson/pic_0043.jpg,19,55,169,347,0
43,./characters/abraham_grampa_simpson/pic_0044.jpg,52,59,283,404,0
44,./characters/abraham_grampa_simpson/pic_0045.jpg,163,67,453,421,0
45,./characters/abraham_grampa_simpson/pic_0046.jpg,0,80,128,427,0
46,./characters/abraham_grampa_simpson/pic_0047.jpg,31,74,230,337,0
47,./characters/abraham_grampa_simpson/pic_0048.jpg,0,3,187,416,0
48,./characters/abraham_grampa_simpson/pic_0049.jpg,118,10,378,417,0
49,./characters/abraham_grampa_simpson/pic_0050.jpg,2,0,198,413,0
50,./characters/abraham_grampa_simpson/pic_0051.jpg,7,42,276,420,0
51,./characters/abraham_grampa_simpson/pic_0052.jpg,0,66,81,423,0
52,./characters/abraham_grampa_simpson/pic_0053.jpg,78,51,207,209,0
53,./characters/abraham_grampa_simpson/pic_0054.jpg,0,32,191,427,0
